,UID,group,overpass,land_cover,mast,yast,theta,ncsa,mast_unc,yast_unc,theta_unc
48,EUR19957,workday,D,urban,289.3863831,13.63943195,-14.33358955,909,0.11050912,0.160938203,0.636823356
49,EUR19957,workday,D,rural_bare,287.9747925,13.25303459,-15.33274555,304,0.201083645,0.300582051,1.099169374
50,EUR19957,weekend,D,urban,289.460144,13.73922253,-13.36501884,365,0.163000301,0.242320001,0.926037073
51,EUR19957,weekend,D,rural_bare,287.434906,13.63455296,-14.61182499,131,0.285167426,0.44340682,1.54714191
52,EUR19957,workday,N,urban,279.8284607,6.924479961,-30.5546608,1787,0.069947772,0.100683406,0.811244667
53,EUR19957,workday,N,rural_bare,278.583374,7.017370224,-32.40011597,773,0.107475869,0.142727137,1.276089787
54,EUR19957,weekend,N,urban,279.5921631,6.898331642,-28.8161068,747,0.102425188,0.14877519,1.175351501
55,EUR19957,weekend,N,rural_bare,278.3753357,6.763786793,-30.43840408,303,0.183624864,0.234452635,2.211531162
56,EUR19958,workday,D,urban,290.3345642,15.41042614,-13.72793674,687,0.127246276,0.184493393,0.659766912
57,EUR19958,workday,D,rural_bare,287.6048889,14.54355526,-13.74581909,146,0.428629249,0.590508461,1.360815644
58,EUR19958,weekend,D,urban,290.2262878,14.90312195,-12.2715292,273,0.190803126,0.276828408,1.029022932
59,EUR19958,weekend,D,rural_bare,288.2715759,13.03107262,-15.07355881,52,0.622139454,0.882472813,2.525992632
60,EUR19958,workday,N,urban,279.8371582,7.450371265,-27.88643837,1539,0.074314535,0.106710538,0.799723327
61,EUR19958,workday,N,rural_bare,277.6203003,7.643122673,-35.58817291,144,0.327218235,0.338924974,3.582637787
62,EUR19958,weekend,N,urban,279.594574,7.526569843,-25.94236755,622,0.117703393,0.171349764,1.23808372
63,EUR19958,weekend,N,rural_bare,277.1473694,8.264807701,-23.8684597,51,0.67274493,0.598763824,6.926996708
64,EUR19959,workday,D,urban,290.9791565,18.18116379,-17.39026833,1101,0.109119847,0.166497797,0.449550182
65,EUR19959,workday,D,rural_bare,289.0357666,16.28177834,-20.01276398,800,0.145283327,0.224157304,0.637349367
66,EUR19959,weekend,D,urban,290.5784607,18.44502258,-17.26752853,449,0.169639692,0.265026122,0.669061661
67,EUR19959,weekend,D,rural_bare,288.789917,16.33763885,-20.64161491,334,0.214783251,0.339159995,0.907067597
68,EUR19959,workday,N,urban,280.2234497,10.26612186,-30.86859512,2082,0.070186093,0.102722861,0.539554656
69,EUR19959,workday,N,rural_bare,278.6971741,9.215847015,-34.07739639,1704,0.080405198,0.114514388,0.70298034
70,EUR19959,weekend,N,urban,280.1670532,10.14945221,-31.82855034,856,0.111812927,0.164957687,0.867211461
71,EUR19959,weekend,N,rural_bare,278.7051392,8.94836235,-34.81424332,685,0.121011592,0.171897814,1.094041467
72,EUR199510,workday,D,urban,290.6715088,17.72854996,-18.56893539,1392,0.108123168,0.162665278,0.442690969
73,EUR199510,workday,D,rural_bare,289.4085083,16.07316589,-20.95217896,1175,0.129653007,0.193166271,0.581879377
74,EUR199510,weekend,D,urban,290.509552,18.31829453,-18.60506439,534,0.170652837,0.262595296,0.649221838
75,EUR199510,weekend,D,rural_bare,289.3412476,16.09616661,-20.39183807,454,0.198557734,0.310822248,0.83965826
76,EUR199510,workday,N,urban,280.4863892,10.46150112,-33.04202652,2096,0.072323561,0.105589584,0.54445684
77,EUR199510,workday,N,rural_bare,279.4770508,9.577336311,-34.83181763,1882,0.07575424,0.109820031,0.622821093
78,EUR199510,weekend,N,urban,280.3813782,10.62133789,-32.99918747,857,0.118633501,0.172411576,0.888343334
79,EUR199510,weekend,N,rural_bare,279.3952026,9.575052261,-34.52108383,758,0.118842527,0.169961676,0.995452285
80,EUR199511,workday,D,urban,290.2285461,17.68517494,-17.73210335,1020,0.14190717,0.219370469,0.522435486
81,EUR199511,workday,D,rural_bare,289.4408875,15.38438988,-18.65567017,550,0.259833097,0.392135501,0.814487159
82,EUR199511,weekend,D,urban,290.0867615,18.16179085,-17.36034584,415,0.237930849,0.383260131,0.81422621
83,EUR199511,weekend,D,rural_bare,290.2295227,14.06471539,-18.11738586,216,0.442342222,0.670231342,1.392530084
84,EUR199511,workday,N,urban,279.4683533,11.34361649,-29.95317268,1817,0.088464849,0.131144121,0.58645004
85,EUR199511,workday,N,rural_bare,277.563446,10.20035458,-31.82536125,757,0.169672146,0.213696182,1.186662078
86,EUR199511,weekend,N,urban,279.3052368,11.92539787,-29.92986679,753,0.139666244,0.206558749,0.871422827
87,EUR199511,weekend,N,rural_bare,276.6690063,11.48179531,-32.23736572,326,0.26722315,0.343376189,1.592603326
88,EUR199512,workday,D,urban,288.487915,22.20702362,-17.34066582,1066,0.149446279,0.23879382,0.477515221
